hid,size,occupants,race
3555,2,"[3631, 32242]",Hispanic
3556,2,"[39915, 20215]",Hispanic
3557,3,"[31717, 26546, 27409]",Hispanic
3558,1,[4524],Hispanic
3559,4,"[1272, 44037, 33303, 39298]",Hispanic
3560,1,[5086],Hispanic
3561,3,"[6908, 32436, 38522]",Hispanic
3562,3,"[8960, 29107, 44387]",Hispanic
3563,3,"[44238, 38849, 26304]",Hispanic
3564,2,"[11659, 31389]",Hispanic
3565,5,"[24354, 31140, 2925, 1282, 44058]",Hispanic
3566,1,[8964],Hispanic
3567,5,"[6252, 29168, 6729, 5756, 12895]",Hispanic
3568,3,"[16236, 29457, 4582]",Hispanic
3569,5,"[18988, 2164, 35141, 38015, 2025]",Hispanic
3570,1,[34659],Hispanic
3571,2,"[15236, 19029]",Hispanic
3572,1,[43302],Hispanic
3573,2,"[23991, 29463]",Hispanic
3574,1,[8055],Hispanic
3575,4,"[18056, 14550, 7459, 4663]",Hispanic
3576,5,"[21191, 657, 24210, 41849, 35429]",Hispanic
3577,1,[17359],Hispanic
3578,2,"[20840, 31393]",Hispanic
3579,1,[28499],Hispanic
3580,1,[25847],Hispanic
3581,2,"[24688, 27356]",Hispanic
3582,1,[19985],Hispanic
3583,3,"[33479, 33042, 2488]",Hispanic
3584,4,"[39209, 21939, 34468, 5939]",Hispanic
3585,3,"[30317, 38255, 2439]",Hispanic
3586,1,[9241],Hispanic
3587,3,"[37903, 41953, 8306]",Hispanic
3588,5,"[15603, 9187, 13380, 8216, 25554]",Hispanic
3589,1,[33425],Hispanic
3590,1,[17503],Hispanic
3591,2,"[43388, 35048]",Hispanic
3592,1,[24112],Hispanic
3593,5,"[31464, 39452, 33110, 35393, 35905]",Hispanic
3594,1,[30445],Hispanic
3595,2,"[22035, 11190]",Hispanic
3596,1,[28674],Hispanic
3597,4,"[11613, 9344, 27498, 31561]",Hispanic
3598,1,[34855],Hispanic
3599,1,[10785],Hispanic
3600,1,[19749],Hispanic
3601,2,"[27336, 7252]",Hispanic
3602,2,"[20548, 33530]",Hispanic
3603,1,[32440],Hispanic
3604,2,"[24094, 32942]",Hispanic
3605,1,[26986],Hispanic
3606,2,"[20091, 23251]",Hispanic
3607,2,"[34478, 22309]",Hispanic
3608,2,"[37797, 22446]",Hispanic
3609,2,"[12851, 4151]",Hispanic
3610,3,"[7043, 6309, 21511]",Hispanic
3611,4,"[36221, 31266, 25808, 43955]",Hispanic
3612,1,[16697],Hispanic
3613,3,"[29059, 43203, 22819]",Hispanic
3614,3,"[35892, 23637, 28324]",Hispanic
3615,2,"[21366, 42529]",Hispanic
3616,2,"[40127, 7014]",Hispanic
3617,1,[2894],Hispanic
3618,2,"[29502, 24922]",Hispanic
3619,2,"[18955, 7731]",Hispanic
3620,2,"[9901, 26642]",Hispanic
3621,7,"[38033, 12022, 17102, 34114, 28465, 15179, 38175]",Hispanic
3622,1,[9759],Hispanic
3623,4,"[18830, 12771, 19265, 16258]",Hispanic
3624,5,"[6044, 18289, 17691, 6067, 18145]",Hispanic
3625,3,"[29982, 34061, 21131]",Hispanic
3626,3,"[41426, 3617, 24286]",Hispanic
3627,1,[4601],Hispanic
3628,3,"[7416, 34704, 3666]",Hispanic
3629,1,[31570],Hispanic
3630,2,"[9918, 43561]",Hispanic
3631,2,"[23269, 13722]",Hispanic
3632,4,"[43579, 26568, 12129, 4169]",Hispanic
3633,2,"[5287, 6689]",Hispanic
3634,2,"[6170, 38128]",Hispanic
3635,2,"[15349, 30477]",Hispanic
3636,3,"[28611, 31970, 34475]",Hispanic
3637,1,[9201],Hispanic
3638,4,"[6985, 22795, 8058, 36381]",Hispanic
3639,3,"[9495, 15188, 37884]",Hispanic
3640,2,"[42884, 40817]",Hispanic
3641,2,"[8241, 14246]",Hispanic
3642,5,"[5991, 8923, 18956, 10961, 40086]",Hispanic
3643,2,"[32349, 35873]",Hispanic
3644,2,"[12350, 561]",Hispanic
3645,2,"[22169, 21049]",Hispanic
3646,2,"[26686, 18277]",Hispanic
3647,2,"[9382, 33225]",Hispanic
3648,3,"[22730, 39308, 34070]",Hispanic
3649,1,[43881],Hispanic
3650,4,"[21772, 4712, 29410, 3589]",Hispanic
3651,2,"[6193, 27559]",Hispanic
3652,1,[29283],Hispanic
3653,2,"[42073, 6571]",Hispanic
3654,1,[3548],Hispanic
3655,1,[43309],Hispanic
3656,3,"[8314, 21588, 3361]",Hispanic
3657,1,[38747],Hispanic
3658,3,"[1149, 38236, 9130]",Hispanic
3659,3,"[37513, 17992, 31177]",Hispanic
3660,1,[14161],Hispanic
3661,2,"[3146, 12085]",Hispanic
3662,1,[10189],Hispanic
3663,3,"[15729, 42925, 43344]",Hispanic
3664,3,"[1145, 43872, 24780]",Hispanic
3665,3,"[6845, 44586, 32669]",Hispanic
3666,2,"[21979, 30303]",Hispanic
3667,4,"[36849, 24936, 3399, 40427]",Hispanic
3668,2,"[3979, 42717]",Hispanic
3669,3,"[20740, 27647, 4728]",Hispanic
3670,4,"[20060, 35196, 8143, 25952]",Hispanic
3671,2,"[8775, 3421]",Hispanic
3672,4,"[33705, 16464, 12930, 18190]",Hispanic
3673,2,"[2899, 11548]",Hispanic
3674,4,"[27350, 39385, 36760, 19289]",Hispanic
3675,4,"[43764, 27089, 29421, 41801]",Hispanic
3676,3,"[37121, 38609, 15300]",Hispanic
3677,4,"[2527, 28746, 38639, 21852]",Hispanic
3678,1,[29254],Hispanic
3679,2,"[10637, 38102]",Hispanic
3680,3,"[37106, 12989, 38690]",Hispanic
3681,3,"[43208, 43390, 16807]",Hispanic
3682,2,"[17060, 38390]",Hispanic
3683,2,"[1495, 17793]",Hispanic
3684,3,"[37257, 37999, 39197]",Hispanic
3685,4,"[3237, 535, 500, 12943]",Hispanic
3686,2,"[28069, 18881]",Hispanic
3687,2,"[16673, 11049]",Hispanic
3688,4,"[40564, 14291, 34734, 19667]",Hispanic
3689,6,"[30480, 19335, 18095, 33712, 28340, 10932]",Hispanic
3690,4,"[40371, 11434, 41799, 13488]",Hispanic
3691,1,[41824],Hispanic
3692,4,"[23007, 2674, 30556, 2483]",Hispanic
3693,2,"[19173, 9255]",Hispanic
3694,2,"[6081, 39223]",Hispanic
3695,1,[41252],Hispanic
3696,1,[3373],Hispanic
3697,2,"[18660, 4396]",Hispanic
3698,2,"[804, 12300]",Hispanic
3699,1,[29820],Hispanic
3700,1,[34507],Hispanic
3701,1,[27684],Hispanic
3702,4,"[27248, 38099, 11233, 21273]",Hispanic
3703,1,[35028],Hispanic
3704,1,[37504],Hispanic
3705,2,"[32848, 42170]",Hispanic
3706,1,[32100],Hispanic
3707,4,"[33781, 31316, 28553, 21118]",Hispanic
3708,1,[35321],Hispanic
3709,4,"[5700, 1721, 3140, 19983]",Hispanic
3710,2,"[29767, 26851]",Hispanic
3711,2,"[3109, 1231]",Hispanic
3712,2,"[43993, 21757]",Hispanic
3713,2,"[19230, 35049]",Hispanic
3714,1,[41798],Hispanic
3715,2,"[9109, 33358]",Hispanic
3716,1,[20544],Hispanic
3717,3,"[3342, 26957, 35534]",Hispanic
3718,4,"[44283, 13136, 36143, 18738]",Hispanic
3719,1,[12984],Hispanic
3720,1,[37285],Hispanic
3721,1,[28027],Hispanic
3722,1,[42749],Hispanic
3723,2,"[9045, 33260]",Hispanic
3724,3,"[15719, 10735, 5846]",Hispanic
3725,1,[1322],Hispanic
3726,4,"[31066, 4532, 719, 12955]",Hispanic
3727,5,"[34284, 28292, 31315, 33768, 35116]",Hispanic
3728,4,"[38508, 36057, 8252, 20601]",Hispanic
3729,2,"[41161, 1236]",Hispanic
3730,1,[21466],Hispanic
3731,2,"[30155, 10136]",Hispanic
3732,2,"[22143, 26211]",Hispanic
3733,2,"[15065, 23650]",Hispanic
3734,5,"[12109, 1314, 27005, 34030, 2489]",Hispanic
3735,4,"[40362, 1281, 43784, 43022]",Hispanic
3736,1,[19757],Hispanic
3737,3,"[16253, 29003, 1367]",Hispanic
3738,3,"[31687, 8662, 40444]",Hispanic
3739,1,[23391],Hispanic
3740,3,"[14700, 16211, 30683]",Hispanic
3741,1,[19069],Hispanic
3742,3,"[2895, 11000, 28480]",Hispanic
3743,2,"[6618, 20734]",Hispanic
3744,1,[14201],Hispanic
3745,2,"[21964, 21818]",Hispanic
3746,5,"[42327, 4287, 21317, 7591, 18292]",Hispanic
3747,2,"[6624, 19522]",Hispanic
3748,1,[30460],Hispanic
3749,1,[24201],Hispanic
3750,7,"[42569, 39743, 20551, 28342, 34504, 39242, 4042]",Hispanic
3751,2,"[26312, 37702]",Hispanic
3752,2,"[35163, 6560]",Hispanic
3753,7,"[14939, 39934, 17734, 14911, 14799, 19776, 32142]",Hispanic
3754,2,"[44081, 30918]",Hispanic
3755,1,[11217],Hispanic
3756,2,"[17511, 8693]",Hispanic
3757,2,"[17373, 11080]",Hispanic
3758,2,"[22382, 11978]",Hispanic
3759,2,"[21779, 6640]",Hispanic
3760,2,"[10195, 22296]",Hispanic
3761,2,"[41536, 36002]",Hispanic
3762,2,"[5911, 3204]",Hispanic
3763,1,[31279],Hispanic
3764,3,"[14299, 33109, 22727]",Hispanic
3765,2,"[23323, 35288]",Hispanic
3766,2,"[7632, 23631]",Hispanic
3767,1,[7030],Hispanic
3768,1,[6934],Hispanic
3769,4,"[21212, 34590, 31410, 36572]",Hispanic
3770,2,"[17315, 30279]",Hispanic
3771,2,"[11902, 19626]",Hispanic
3772,1,[15794],Hispanic
3773,5,"[2643, 786, 32286, 19087, 25827]",Hispanic
3774,2,"[12341, 35191]",Hispanic
3775,4,"[7678, 22345, 28735, 42983]",Hispanic
3776,5,"[36522, 22657, 10573, 7543, 5095]",Hispanic
3777,3,"[30368, 36202, 33469]",Hispanic
3778,2,"[9735, 17756]",Hispanic
3779,2,"[4419, 3323]",Hispanic
3780,1,[19389],Hispanic
3781,3,"[43256, 29556, 6984]",Hispanic
3782,1,[38494],Hispanic
3783,1,[10157],Hispanic
3784,4,"[187, 19517, 17702, 39939]",Hispanic
3785,1,[15115],Hispanic
3786,2,"[20825, 39148]",Hispanic
3787,1,[43023],Hispanic
3788,2,"[23730, 18840]",Hispanic
3789,2,"[7218, 10857]",Hispanic
3790,1,[42846],Hispanic
3791,1,[6501],Hispanic
3792,1,[11558],Hispanic
3793,4,"[30875, 17709, 5870, 38061]",Hispanic
3794,2,"[11300, 17360]",Hispanic
3795,2,"[18043, 21275]",Hispanic
3796,2,"[21731, 23083]",Hispanic
3797,1,[21098],Hispanic
3798,1,[7570],Hispanic
3799,1,[24844],Hispanic
3800,1,[10992],Hispanic
3801,2,"[6112, 44538]",Hispanic
3802,2,"[11555, 21431]",Hispanic
3803,2,"[39371, 23110]",Hispanic
3804,3,"[38310, 18185, 5527]",Hispanic
3805,6,"[5356, 14701, 19301, 20876, 21367, 1993]",Hispanic
3806,4,"[5387, 42952, 30714, 37798]",Hispanic
3807,2,"[23076, 23444]",Hispanic
3808,1,[12888],Hispanic
3809,2,"[10009, 38196]",Hispanic
3810,4,"[20817, 40121, 44583, 14314]",Hispanic
3811,1,[27876],Hispanic
3812,1,[20709],Hispanic
3813,4,"[26750, 5793, 24702, 35834]",Hispanic
3814,1,[7840],Hispanic
3815,1,[38808],Hispanic
3816,2,"[1251, 15086]",Hispanic
3817,1,[20941],Hispanic
3818,3,"[16680, 31074, 15717]",Hispanic
3819,1,[23833],Hispanic
3820,1,[30777],Hispanic
3821,1,[10184],Hispanic
3822,2,"[4044, 31050]",Hispanic
3823,3,"[9436, 28000, 30718]",Hispanic
3824,2,"[38991, 41796]",Hispanic
3825,3,"[25767, 36329, 39351]",Hispanic
3826,2,"[42462, 19433]",Hispanic
3827,2,"[18750, 30325]",Hispanic
3828,4,"[7932, 34505, 16660, 38561]",Hispanic
3829,2,"[25966, 38232]",Hispanic
3830,3,"[21013, 23163, 36624]",Hispanic
3831,1,[36276],Hispanic
3832,2,"[5827, 29789]",Hispanic
3833,1,[27582],Hispanic
3834,2,"[14013, 387]",Hispanic
3835,1,[19405],Hispanic
3836,2,"[11737, 14232]",Hispanic
3837,1,[34882],Hispanic
3838,3,"[27016, 21015, 43253]",Hispanic
3839,2,"[5532, 28985]",Hispanic
3840,7,"[42969, 31805, 12823, 4346, 35186, 17768, 20224]",Hispanic
3841,5,"[12924, 17295, 17086, 17919, 8189]",Hispanic
3842,6,"[25232, 3643, 13717, 39261, 39581, 3509]",Hispanic
3843,1,[17380],Hispanic
3844,4,"[38425, 5367, 2700, 36346]",Hispanic
3845,5,"[29862, 3084, 12221, 29680, 3410]",Hispanic
3846,2,"[28935, 8646]",Hispanic
3847,1,[8943],Hispanic
3848,1,[6741],Hispanic
3849,3,"[34145, 2960, 19137]",Hispanic
3850,7,"[32563, 14189, 10702, 15092, 43686, 13830, 41316]",Hispanic
3851,2,"[2487, 24147]",Hispanic
3852,1,[36746],Hispanic
3853,3,"[31566, 40092, 17354]",Hispanic
3854,1,[3927],Hispanic
3855,2,"[34291, 30438]",Hispanic
3856,2,"[10843, 24407]",Hispanic
3857,1,[28456],Hispanic
3858,1,[3228],Hispanic
3859,2,"[25136, 4808]",Hispanic
3860,5,"[25603, 34603, 4866, 31184, 26730]",Hispanic
3861,7,"[27938, 30169, 43409, 3356, 5253, 10755, 3635]",Hispanic
3862,2,"[2844, 815]",Hispanic
3863,1,[43301],Hispanic
3864,2,"[18693, 38095]",Hispanic
3865,3,"[11053, 10916, 10159]",Hispanic
3866,5,"[31129, 42396, 42698, 7807, 38067]",Hispanic
3867,1,[21488],Hispanic
3868,3,"[5675, 40655, 409]",Hispanic
3869,1,[8564],Hispanic
3870,3,"[4475, 13695, 34796]",Hispanic
3871,4,"[16532, 28983, 33849, 32796]",Hispanic
3872,2,"[10404, 33058]",Hispanic
3873,1,[35329],Hispanic
3874,3,"[7653, 28235, 8047]",Hispanic
3875,1,[13257],Hispanic
3876,5,"[44568, 30802, 41172, 20969, 5056]",Hispanic
3877,2,"[19851, 38739]",Hispanic
3878,3,"[38126, 12172, 32295]",Hispanic
3879,2,"[27450, 34990]",Hispanic
3880,2,"[5327, 31759]",Hispanic
3881,3,"[15276, 14274, 9258]",Hispanic
3882,1,[40294],Hispanic
3883,2,"[29976, 27555]",Hispanic
3884,4,"[25072, 44130, 25154, 35024]",Hispanic
3885,3,"[3789, 12806, 7291]",Hispanic
3886,4,"[1831, 42710, 42958, 6915]",Hispanic
3887,2,"[5452, 23212]",Hispanic
3888,1,[16559],Hispanic
3889,4,"[26916, 7868, 42645, 12533]",Hispanic
3890,2,"[530, 36470]",Hispanic
3891,1,[40935],Hispanic
3892,1,[5709],Hispanic
3893,2,"[25899, 4667]",Hispanic
3894,6,"[32657, 3986, 36634, 42259, 5795, 12064]",Hispanic
3895,2,"[7408, 5978]",Hispanic
3896,3,"[33615, 7170, 37174]",Hispanic
3897,2,"[3940, 1809]",Hispanic
3898,1,[43418],Hispanic
3899,5,"[10332, 19113, 27158, 16330, 8797]",Hispanic
3900,2,"[21739, 40140]",Hispanic
3901,2,"[43001, 22563]",Hispanic
3902,1,[34234],Hispanic
3903,7,"[24946, 7514, 31904, 301, 29641, 18449, 23455]",Hispanic
3904,1,[31521],Hispanic
3905,1,[38049],Hispanic
3906,4,"[29301, 22580, 43571, 733]",Hispanic
3907,1,[41341],Hispanic
3908,2,"[14493, 19094]",Hispanic
3909,2,"[26243, 36728]",Hispanic
3910,1,[28540],Hispanic
3911,3,"[7088, 23917, 41861]",Hispanic
3912,5,"[4323, 26486, 43619, 30293, 28570]",Hispanic
3913,2,"[5286, 39061]",Hispanic
3914,1,[39021],Hispanic
3915,4,"[13975, 3321, 32343, 33026]",Hispanic
3916,6,"[21313, 27573, 29198, 8879, 34864, 29293]",Hispanic
3917,2,"[26922, 27852]",Hispanic
3918,3,"[27826, 33834, 28200]",Hispanic
3919,2,"[21176, 38648]",Hispanic
3920,1,[27128],Hispanic
3921,5,"[30667, 4481, 5590, 39683, 34420]",Hispanic
3922,1,[18977],Hispanic
3923,2,"[35474, 10487]",Hispanic
3924,3,"[16956, 40985, 37708]",Hispanic
3925,1,[20007],Hispanic
3926,2,"[42000, 27398]",Hispanic
3927,2,"[7249, 34542]",Hispanic
3928,6,"[24589, 35589, 30453, 2165, 41880, 29007]",Hispanic
3929,7,"[29724, 3036, 2171, 32597, 15123, 35850, 9691]",Hispanic
3930,2,"[42146, 11744]",Hispanic
3931,2,"[31124, 12993]",Hispanic
3932,5,"[2076, 18461, 19820, 29857, 2530]",Hispanic
3933,3,"[22400, 42096, 15570]",Hispanic
3934,1,[36723],Hispanic
3935,1,[16482],Hispanic
3936,2,"[14327, 27239]",Hispanic
3937,2,"[3654, 275]",Hispanic
3938,2,"[30514, 737]",Hispanic
3939,2,"[12366, 8973]",Hispanic
3940,3,"[2044, 34260, 38120]",Hispanic
3941,3,"[7097, 28247, 807]",Hispanic
3942,6,"[34259, 22404, 36056, 37748, 29636, 30931]",Hispanic
3943,4,"[44365, 41992, 30711, 8459]",Hispanic
3944,2,"[28537, 11203]",Hispanic
3945,2,"[15176, 19461]",Hispanic
3946,3,"[13627, 18239, 16530]",Hispanic
3947,3,"[23886, 34019, 34348]",Hispanic
3948,4,"[38142, 29510, 29151, 26855]",Hispanic
3949,4,"[4468, 20956, 15257, 14354]",Hispanic
3950,5,"[817, 19546, 2939, 3413, 18424]",Hispanic
3951,3,"[39576, 6784, 4092]",Hispanic
3952,2,"[27382, 33939]",Hispanic
3953,3,"[34211, 21265, 19833]",Hispanic
3954,3,"[1159, 30060, 23508]",Hispanic
3955,3,"[19811, 22920, 44190]",Hispanic
3956,2,"[32065, 3587]",Hispanic
3957,2,"[18607, 17259]",Hispanic
3958,3,"[37894, 39987, 24318]",Hispanic
3959,3,"[12360, 29938, 7001]",Hispanic
3960,1,[39427],Hispanic
3961,3,"[35921, 14173, 8491]",Hispanic
3962,3,"[20921, 40124, 23673]",Hispanic
3963,4,"[32213, 18421, 22067, 41870]",Hispanic
3964,6,"[24453, 18465, 37948, 7447, 35710, 12997]",Hispanic
3965,3,"[38786, 24138, 16226]",Hispanic
3966,2,"[13818, 30086]",Hispanic
3967,6,"[1512, 31249, 5496, 27355, 22040, 35765]",Hispanic
3968,1,[38036],Hispanic
3969,2,"[14222, 17700]",Hispanic
3970,2,"[41712, 1091]",Hispanic
3971,1,[22193],Hispanic
3972,1,[21545],Hispanic
3973,1,[18355],Hispanic
3974,2,"[2300, 39930]",Hispanic
3975,2,"[32261, 26379]",Hispanic
3976,1,[46],Hispanic
3977,2,"[41822, 10232]",Hispanic
3978,1,[25635],Hispanic
3979,2,"[40663, 8777]",Hispanic
3980,2,"[30880, 15148]",Hispanic
3981,4,"[816, 18716, 33207, 18907]",Hispanic
3982,1,[41752],Hispanic
3983,2,"[43545, 16966]",Hispanic
3984,2,"[26872, 19519]",Hispanic
3985,2,"[26563, 26485]",Hispanic
3986,1,[37892],Hispanic
3987,7,"[4632, 25537, 14639, 8182, 10837, 3916, 30673]",Hispanic
3988,4,"[13473, 25254, 40863, 7028]",Hispanic
3989,5,"[39993, 33463, 32720, 30939, 36060]",Hispanic
3990,1,[33967],Hispanic
3991,2,"[32052, 664]",Hispanic
3992,2,"[25784, 621]",Hispanic
3993,2,"[27338, 43383]",Hispanic
3994,5,"[37476, 30546, 34951, 13732, 31466]",Hispanic
3995,1,[33051],Hispanic
3996,7,"[8232, 9211, 7860, 20732, 29213, 9805, 40527]",Hispanic
3997,2,"[25802, 9648]",Hispanic
3998,2,"[39907, 24832]",Hispanic
3999,1,[10907],Hispanic
4000,1,[27187],Hispanic
4001,2,"[30819, 38740]",Hispanic
4002,4,"[13649, 13789, 7923, 26392]",Hispanic
4003,4,"[14723, 36560, 28779, 4038]",Hispanic
4004,1,[15568],Hispanic
4005,1,[26422],Hispanic
4006,3,"[41171, 29534, 29725]",Hispanic
4007,4,"[21702, 39776, 10120, 36791]",Hispanic
4008,1,[29261],Hispanic
4009,3,"[2271, 18768, 25968]",Hispanic
4010,2,"[36576, 15443]",Hispanic
4011,1,[30849],Hispanic
4012,4,"[1463, 26453, 16333, 3243]",Hispanic
4013,2,"[4738, 712]",Hispanic
4014,5,"[31426, 2766, 31876, 8099, 10139]",Hispanic
4015,3,"[26466, 37952, 3801]",Hispanic
4016,4,"[37916, 18920, 39881, 9525]",Hispanic
4017,1,[23],Hispanic
4018,5,"[13439, 22393, 24956, 40454, 33200]",Hispanic
4019,2,"[26691, 29573]",Hispanic
4020,2,"[9789, 41207]",Hispanic
4021,4,"[24613, 44431, 11263, 4196]",Hispanic
4022,2,"[12096, 18845]",Hispanic
4023,3,"[2880, 35858, 12427]",Hispanic
4024,1,[1246],Hispanic
4025,7,"[15860, 32494, 30428, 8148, 15722, 3739, 3755]",Hispanic
4026,2,"[18645, 31308]",Hispanic
4027,4,"[42914, 19004, 27271, 5821]",Hispanic
4028,1,[21906],Hispanic
4029,3,"[22783, 14984, 31515]",Hispanic
4030,1,[38322],Hispanic
4031,2,"[34814, 35068]",Hispanic
4032,2,"[3906, 8752]",Hispanic
4033,6,"[8854, 44228, 16076, 34081, 19947, 20843]",Hispanic
4034,2,"[4144, 12499]",Hispanic
4035,1,[15516],Hispanic
4036,7,"[1516, 29761, 15420, 41208, 3175, 3092, 17483]",Hispanic
4037,2,"[20397, 9855]",Hispanic
4038,5,"[25379, 1094, 585, 10652, 17472]",Hispanic
4039,2,"[15690, 2224]",Hispanic
4040,1,[917],Hispanic
4041,3,"[23690, 31583, 17355]",Hispanic
4042,5,"[6472, 36606, 6704, 8630, 26799]",Hispanic
4043,5,"[19105, 10373, 28045, 14370, 13900]",Hispanic
4044,1,[3921],Hispanic
4045,2,"[38523, 31883]",Hispanic
4046,5,"[10309, 8134, 12513, 9991, 44593]",Hispanic
4047,4,"[14343, 29322, 10270, 37445]",Hispanic
4048,1,[6793],Hispanic
4049,1,[24934],Hispanic
4050,2,"[24583, 23428]",Hispanic
4051,2,"[548, 23798]",Hispanic
4052,2,"[32446, 1893]",Hispanic
4053,4,"[16477, 12669, 16427, 623]",Hispanic
4054,1,[42329],Hispanic
4055,3,"[35563, 34526, 7151]",Hispanic
4056,1,[26815],Hispanic
4057,1,[28830],Hispanic
4058,2,"[37370, 13605]",Hispanic
4059,1,[14067],Hispanic
4060,1,[12053],Hispanic
4061,2,"[31099, 27083]",Hispanic
4062,2,"[7124, 41596]",Hispanic
4063,5,"[43727, 20536, 27114, 11561, 7834]",Hispanic
4064,5,"[15247, 26977, 13370, 24429, 1810]",Hispanic
4065,2,"[42684, 12256]",Hispanic
4066,4,"[38884, 44362, 11766, 10538]",Hispanic
4067,3,"[24217, 6781, 21490]",Hispanic
4068,2,"[26253, 14384]",Hispanic
4069,5,"[37969, 2826, 9516, 8596, 8651]",Hispanic
4070,2,"[16184, 40751]",Hispanic
4071,5,"[22292, 3463, 20263, 28159, 39222]",Hispanic
4072,2,"[31664, 34597]",Hispanic
4073,1,[9437],Hispanic
4074,1,[8769],Hispanic
4075,1,[13911],Hispanic
4076,1,[20486],Hispanic
4077,3,"[9884, 28528, 38308]",Hispanic
4078,3,"[31723, 11095, 38080]",Hispanic
4079,5,"[28811, 13514, 32504, 3113, 24230]",Hispanic
4080,3,"[14619, 18013, 23061]",Hispanic
4081,1,[24640],Hispanic
4082,3,"[27427, 13363, 24141]",Hispanic
4083,1,[25903],Hispanic
4084,1,[12454],Hispanic
4085,6,"[6854, 6135, 26261, 18041, 44395, 18808]",Hispanic
4086,3,"[34977, 39474, 42587]",Hispanic
4087,4,"[4345, 5789, 27414, 37796]",Hispanic
4088,3,"[9392, 21730, 6355]",Hispanic
4089,3,"[34380, 36164, 37562]",Hispanic
4090,1,[37725],Hispanic
4091,4,"[23460, 41027, 28669, 36742]",Hispanic
4092,4,"[21459, 22714, 19672, 42601]",Hispanic
4093,3,"[32956, 17655, 32266]",Hispanic
4094,4,"[26094, 22848, 21685, 19737]",Hispanic
4095,4,"[10615, 37532, 15128, 5112]",Hispanic
4096,4,"[1699, 36423, 6639, 37161]",Hispanic
4097,2,"[36146, 44454]",Hispanic
4098,4,"[26973, 11101, 11941, 2968]",Hispanic
4099,2,"[258, 16036]",Hispanic
4100,4,"[22409, 39185, 36367, 4960]",Hispanic
4101,1,[23786],Hispanic
4102,1,[5771],Hispanic
4103,1,[23703],Hispanic
4104,3,"[15320, 23053, 14267]",Hispanic
4105,1,[27027],Hispanic
4106,2,"[29487, 14251]",Hispanic
4107,2,"[32294, 22550]",Hispanic
4108,1,[780],Hispanic
4109,3,"[2561, 6004, 41598]",Hispanic
4110,4,"[2557, 30715, 39031, 39445]",Hispanic
4111,3,"[24800, 35689, 19589]",Hispanic
4112,5,"[1384, 25424, 10782, 40315, 19923]",Hispanic
4113,3,"[14771, 28237, 2695]",Hispanic
4114,2,"[1634, 1710]",Hispanic
4115,1,[31747],Hispanic
4116,5,"[34879, 39555, 12979, 43630, 38491]",Hispanic
4117,5,"[120, 5977, 36704, 14708, 5051]",Hispanic
4118,3,"[9844, 11960, 8988]",Hispanic
4119,1,[35693],Hispanic
4120,2,"[12127, 8087]",Hispanic
4121,2,"[42324, 13751]",Hispanic
4122,5,"[20249, 1608, 16775, 42811, 36668]",Hispanic
4123,2,"[20680, 23375]",Hispanic
4124,2,"[43404, 37145]",Hispanic
4125,1,[34277],Hispanic
4126,1,[5823],Hispanic
4127,1,[5392],Hispanic
4128,4,"[28175, 31533, 38854, 562]",Hispanic
4129,2,"[11237, 22900]",Hispanic
4130,3,"[25128, 6414, 3756]",Hispanic
4131,1,[35260],Hispanic
4132,3,"[31117, 16123, 19354]",Hispanic
4133,2,"[11530, 12983]",Hispanic
4134,3,"[38040, 1823, 28299]",Hispanic
4135,3,"[7863, 18611, 7664]",Hispanic
4136,3,"[21468, 34638, 30378]",Hispanic
4137,1,[30634],Hispanic
4138,2,"[5635, 30854]",Hispanic
4139,4,"[35034, 5531, 26364, 9265]",Hispanic
4140,3,"[25147, 14260, 14491]",Hispanic
4141,1,[28840],Hispanic
4142,2,"[17407, 31043]",Hispanic
4143,2,"[26632, 6347]",Hispanic
4144,3,"[3041, 37439, 14163]",Hispanic
4145,2,"[28103, 39662]",Hispanic
4146,2,"[6564, 23418]",Hispanic
4147,2,"[26131, 20206]",Hispanic
4148,1,[20627],Hispanic
4149,3,"[9027, 9184, 36280]",Hispanic
4150,2,"[3729, 29058]",Hispanic
4151,2,"[3650, 13429]",Hispanic
4152,2,"[34561, 17009]",Hispanic
4153,3,"[39330, 8974, 12945]",Hispanic
4154,1,[1438],Hispanic
4155,5,"[31087, 29045, 14551, 18769, 5961]",Hispanic
4156,4,"[36701, 27424, 9054, 26318]",Hispanic
4157,4,"[27169, 24185, 14211, 3751]",Hispanic
4158,2,"[36185, 19220]",Hispanic
4159,4,"[43376, 40081, 34241, 26768]",Hispanic
4160,4,"[23109, 29731, 7388, 26316]",Hispanic
4161,1,[39523],Hispanic
4162,4,"[34867, 39133, 43511, 43237]",Hispanic
4163,1,[23490],Hispanic
4164,2,"[31665, 29205]",Hispanic
4165,2,"[33884, 25099]",Hispanic
4166,5,"[33870, 35425, 20979, 29176, 42657]",Hispanic
4167,2,"[28406, 678]",Hispanic
4168,2,"[37164, 14383]",Hispanic
4169,2,"[15082, 27179]",Hispanic
4170,2,"[22203, 41184]",Hispanic
4171,3,"[150, 23090, 44556]",Hispanic
4172,2,"[34726, 248]",Hispanic
4173,2,"[15357, 41464]",Hispanic
4174,2,"[17113, 679]",Hispanic
4175,4,"[1152, 27615, 18055, 23848]",Hispanic
4176,4,"[2096, 4320, 31951, 14540]",Hispanic
4177,4,"[42535, 16710, 33168, 35665]",Hispanic
4178,1,[11758],Hispanic
